,Club,URL
0,Paris SG,/wiki/Paris_Saint-Germain_Football_Club
1,LOSC Lille,/wiki/LOSC_Lille
2,Olympique lyonnais,/wiki/Olympique_lyonnais
3,AS Saint-Étienne,/wiki/Association_sportive_de_Saint-%C3%89tienne
4,Olympique deMarseille,/wiki/Olympique_de_Marseille
5,Montpellier HSC,/wiki/Montpellier_H%C3%A9rault_Sport_Club
6,Stade de Reims,/wiki/Stade_de_Reims
7,OGC Nice,/wiki/Olympique_Gymnaste_Club_Nice
8,Nîmes Olympique,/wiki/N%C3%AEmes_Olympique
9,RC Strasbourg,/wiki/Racing_Club_de_Strasbourg_Alsace
10,Stade rennais FC,/wiki/Stade_rennais_Football_Club
11, SCO d’Angers,/wiki/Angers_sporting_club_de_l%27Ouest
12,FC Metz,/wiki/Football_Club_de_Metz
13,FC Nantes,/wiki/Football_Club_de_Nantes
14,Stade brestois,/wiki/Stade_brestois_29
15,Girondins de Bordeaux,/wiki/Football_Club_des_Girondins_de_Bordeaux
16,Toulouse FC,/wiki/Toulouse_Football_Club
17,Amiens SC,/wiki/Amiens_Sporting_Club
18,AS Monaco,/wiki/Association_sportive_de_Monaco_football_club
19,Dijon FCO,/wiki/Dijon_Football_C%C3%B4te-d%27Or
